file_name,file_datetime,channel,segments,events,events_per_minute,mean_events_per_segment,max_heatmap,mean_heatmap
Broadband_Data_2026.03.25_18.00.00.bin,2026-03-25T18:00:00,ns,30,143,143.0,4.766666666666667,0.9976153373718262,0.06795809417963028
Broadband_Data_2026.03.25_18.00.00.bin,2026-03-25T18:00:00,we,30,71,71.0,2.3666666666666667,0.9981491565704346,0.04493261935810248
Broadband_Data_2026.03.25_18.01.00.bin,2026-03-25T18:01:00,ns,30,139,139.0,4.633333333333334,0.997761607170105,0.06145799346268177
Broadband_Data_2026.03.25_18.01.00.bin,2026-03-25T18:01:00,we,30,68,68.0,2.2666666666666666,0.9979420304298401,0.044740024209022525
Broadband_Data_2026.03.25_18.02.00.bin,2026-03-25T18:02:00,ns,30,101,101.0,3.3666666666666667,0.9986496567726135,0.05505124963819981
Broadband_Data_2026.03.25_18.02.00.bin,2026-03-25T18:02:00,we,30,66,66.0,2.2,0.9976392984390259,0.044640868157148364
Broadband_Data_2026.03.25_18.03.00.bin,2026-03-25T18:03:00,ns,30,106,106.0,3.533333333333333,0.9984299540519714,0.05119055025279522
Broadband_Data_2026.03.25_18.03.00.bin,2026-03-25T18:03:00,we,30,55,55.0,1.8333333333333333,0.9968336224555969,0.041796449075142544
Broadband_Data_2026.03.25_18.04.00.bin,2026-03-25T18:04:00,ns,30,115,115.0,3.8333333333333335,0.9979830980300903,0.055170791471997896
Broadband_Data_2026.03.25_18.04.00.bin,2026-03-25T18:04:00,we,30,51,51.0,1.7,0.9967303276062012,0.04175132488210996
Broadband_Data_2026.03.25_18.05.00.bin,2026-03-25T18:05:00,ns,30,97,97.0,3.2333333333333334,0.9984208345413208,0.05327654878298441
Broadband_Data_2026.03.25_18.05.00.bin,2026-03-25T18:05:00,we,30,64,64.0,2.1333333333333333,0.9969492554664612,0.04687497230867545
Broadband_Data_2026.03.25_18.06.00.bin,2026-03-25T18:06:00,ns,30,129,129.0,4.3,0.9971053004264832,0.06233614099522432
